post_ID,page_num,text,date,clean_date,bloom_doy,quarter,year,avg_max_temp,avg_min_temp,avg_prcp
11,1,kerrisdale-yew/44th  to westblvd/44thit seems will bloom soon. ,"Mar 21, 2008",2008-03-21,81,1,2008,8.268,0.74,18.88
12,1,"vine/45th, vine/43th-kerrisdalei can not be sure how long it could be till they bloom.some from vine-balsam/43th are blooming. ","Mar 21, 2008",2008-03-21,81,1,2008,8.268,0.74,18.88
13,1,cherry at marine  between 49th and marine drsome of has bloom and some will bloom in few days or week ,"Mar 22, 2008",2008-03-22,82,1,2008,8.268,0.74,18.88
14,1,"it's going to start getting harder now, with the akebonos coming out, which is what i think the first three photos are {edited 20090724 by wcutler: there are too many marine somethings around there, but i think these are the somei-yoshino trees posted elsewhere in this thread]. the rest are plums. it's nice having the two photos of buds for comparison - notice how the stems are attached singly on the plums (5th photo). these plums won't have horizontally striped bark, but the akebono cherries should. ","Mar 23, 2008",2008-03-23,83,1,2008,8.268,0.74,18.88
15,1,"locate at balsam between 41st and 42nd. these could be cherry or plum i can not tell. but, they are quite spectacular when they were blooming each year. as you can see the buds , they might bloom soon. ","Mar 27, 2008",2008-03-27,87,1,2008,8.268,0.74,18.88
16,1,definitely cherries. ,"Mar 27, 2008",2008-03-27,87,1,2008,8.268,0.74,18.88
17,1,update on marine/50th ,"Mar 27, 2008",2008-03-27,87,1,2008,8.268,0.74,18.88
18,1,elm/at about west 47th ave. maybe plum. ,"Mar 27, 2008",2008-03-27,87,1,2008,8.268,0.74,18.88
19,1,larch/west 43th. they are going to blooming soon. ,"Mar 27, 2008",2008-03-27,87,1,2008,8.268,0.74,18.88
20,1,balsam/ 49th to 51th. blooming ,"Mar 27, 2008",2008-03-27,87,1,2008,8.268,0.74,18.88
21,1,vine street/ 49th to 51th ,"Mar 27, 2008",2008-03-27,87,1,2008,8.268,0.74,18.88
22,1,"re: accolade - kerrisdale, west 50th, marine cr to macdonaldblooming now!                                                                                                                        march 27,2008it's very cold nowadays, but cherry blossoms are blooming every day.i think it's worth viewing! ","Mar 27, 2008",2008-03-27,87,1,2008,8.268,0.74,18.88
23,1,yew st./ 42th to 47th. plum? ,"Mar 28, 2008",2008-03-28,88,1,2008,8.268,0.74,18.88
24,1,zack said:↑yew st./ 42th to 47th. plum?click to expand...accolade cherries. nice - thanks. ,"Mar 28, 2008",2008-03-28,88,1,2008,8.268,0.74,18.88
25,1,"kerrisdale - accolade (marine crescent / 49)more accolade cherries near 6550 marine crescent (not drive)south of 49th. ","Mar 28, 2008",2008-03-28,88,1,2008,8.268,0.74,18.88
26,2,"vcbf scout melody hessing writes:""these are from yesterday, march 30, 2008,  planted around the angus corporate park next to the fraser river park, 1700-1750  west 75th, below marine drive. it is a small group of buildings, with a planting  of accolades, tucked out of most of the wind and inclement weather, and in full  bloom! absolutely beautiful, young trees. you can park at fraser river park,  which is a small park at the fraser river, with tugboats and mergansers and  other interesting ducks, blackbirds trilling, and this little posey of trees  around this small complex of buildings.""  this sounds like a lovely spot. ","Apr 1, 2008",2008-04-01,92,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
27,2,"survived from last storm, these accolade still bloom beautifully on 50th ave. ","Apr 3, 2008",2008-04-03,94,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
28,2,"hi, neighbours!west 50th & marine crescent are really beautiful now! (as many people wrote!)and also i think they are one of the most interesting spots in vancouver now.accolades are chosen festival favorites site, but you can see many other cherries there. on marine crecent, there is a whitcomb as joseph lin wrote (almost finishing now). there are 2 kinds of purple-leaved plum trees and 1 white plum( almost finishing) . somei-yoshino trees are blooming beautifully between 50th and marine dr.on west 50th ave. accolades are blooming beautifully and several young akebono trees started to bloom and there are 3 cherry trees which i 'm not sure. and at the garden of one house we can see 2 pendula trees are nearly blooming! there are 2 wild cherry trees near macdonald street.marine crescent on april 2.                                     (somei-yoshino & plums) somei-yoshino has  gentle pink flowers which always have 5 petals.yesterday when i took walk with wendy from burrard station, i couldn't say difference between somei-yoshino and akebono. but now i found a difference besides the staminode.when you see them close-up, you can see yellowy star shapes in the flowers.(akebono has smaller stars) also akebono has bigger and rounder petals.     west　５０ｔｈ ave. on april 5.                                            wild cherry tree     (they are not blooming yet. flowers on this photo are accolades)cherry trees which i'm not suretheir flowers are a bit smaller than somei-yoshino or akebono.they always have 5 petals and bloom less flowers on the tree. ","Apr 6, 2008",2008-04-06,97,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
29,2,nice prunus pendula 'beni-shidare' at 54th and west boulevard. it's all one tree - the trunk to the left is something else. maybe 50% out april 7. ,"Apr 8, 2008",2008-04-08,99,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
30,2,"re: kerrisdale - maple grove parkthese are the akebonos in maple grove park, marine dr and yew, that douglas mentioned in his april 11 blog. ","Apr 13, 2008",2008-04-13,104,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
31,2,"* finished tai haku - kerrisdale, balsam between 41st and 43rdthe tai haku trees on balsam between 41st and 43rd have just come into bloom. a photo is ""on order"". ","Apr 15, 2008",2008-04-15,106,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
32,2,"re: tai haku - kerrisdale, balsam between 41st and 43rda beautiful line of tai-haku on the w side of balsam are in full bloom. ","Apr 15, 2008",2008-04-15,106,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
33,2,"balsam street south from 41st has a fabulous row of tai haku but also find washi-no-o  or ""eagles tail"" cherry at 47th and near 45th.  the single white blossoms are very fragrant.  you may think yoshino until the noticing the scent; think baby powder.0n 45th near larch, takasago is blooming, perhaps not in the most robust health but hanging in there.[edited by wcutler 20090724: we're calling this one edo-zakura. see the edo-zakura thread in cultivar ids. [edited by wcutler 20140419]: now it's 'yokihi'. same tree, third name. ","Apr 15, 2008",2008-04-15,106,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
34,2,"* posted - ukon - kerrisdale - churchill, west 47th to 49thukon cherries on churchill street from w. 47th to 49th are a vcbf festival favourite for 2008.  ","Apr 18, 2008",2008-04-18,109,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
35,2,"re: ukon - kerrisdale - churchill, west 47th to 49ththe double row if mature ukon cherries along churchill from 47th to 49th are just opening.  the blossoms have a distinctive pale yellow/green colour especially when contrasted with a white blossom. ","Apr 20, 2008",2008-04-20,111,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
36,2,"re: *posted - accolade - kerrisdale, west 50th, marine cr to macdonaldaccolades finished, but-----posted on april 21accolade on 50th finally became not worth viewing. until last week there were a few trees still blooming. they continued to bloom more than a month! still you can see some flowers blooming now. it's amazing!but there are some other cherries worth viewing on 50th.there is 1 washi-no-o. it is at the late stage of blooming and center of the flowers getting pink.there is one avium plena.(one more in the garden) they are wild trees and very big and  free shape!and at the garden of one house we can see 2 yae-beni-shidare and 1 ukon. ","Apr 21, 2008",2008-04-21,112,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
37,2,"50th & marine crescent posted on april 21accodales on 50th and somei-yoshino on marine crescent finished and akebonos are nearly fisnishing now. but there are still some cherries to see on 50th.there are 2 avium plena.(one in the garden with ivy)they are full bloom now!they grew up wild and very big, so their shape are not like cherry at all(for me)!there is 1 washi-no-o. it is at the late stage of blooming now.center of the flowers are getting pink.april 21                                             april 13 (basically washi-no-o has a bigger flowers than somei-yoshino but some are relatively small)the weeping trees in a garden turned out to be yae-beni-shidare.also 1 ukon is blooming now at the same garden.also the question tree i posted about 2 weeks ago turned out to be pandora.they have goblet shapes and small flowers with 5 petals.douglas said that pandora was the most ugly cherry. but i think it's because of grafting. ","Apr 21, 2008",2008-04-21,112,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
38,2,"re: ukon - kerrisdale - churchill, west 47th to 49thappears that lots of progress has been made in the last 4 days. should be a good showing on the weekend. ","Apr 25, 2008",2008-04-25,116,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
39,2,"46th &  w. blvd  and e blvdposte on april 30there are rows of sirofugen on 46th ave. between e.blvd and maple st. they have just started to bloom!i think flowers here are bigger and you can see phylloid styles which really looks like elephant noses. ( 'shiro-' means white and 'fugen' means fugen-bosatsu, one of gods of buddism which rides on an elephant.)the other side of the rail track, you can see kanzan and avium tree at the corner of w.blvd and 46th.but if you cross the track and go to w.blvd, you'll know there are  one kanzan tree and one avium-kanzan tree only. this avium-kanzan tree has only one branch of kanzan and all other parts are avium. total failure of grafting! also you can see  one small miserable kiku-shidare-zakura in the garden of the north-side house on 46th between e.blvd and maple st.  (shirofugen side) ","May 1, 2008",2008-05-01,122,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
40,2,"eteinindia said:↑also you can see  one small miserable kiku-shidare-zakura click to expand...i normally would ask people not to insult someone's beloved tree, but this one has clearly been neglected right from the start - mariko, it's another grafting failure example that you're specializing in lately <grin>. that stuff at the top is from the rootstock. the kiku shidare zakura at my apartment building started to do that last year, but we cut those shoots off and no new ones showed up this year. ","May 1, 2008",2008-05-01,122,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
41,2,"posted on may 21now almost all the cherries have finished! it's a season for rhododendrons, dogwoods and laburnams. the last cherries blooming in kerrisdale are shiro-fugens in the garden of kerrisdale community centre near the cornor of yew and 43rd.(pictued on may 20)but now they are not shiro-fugen anymore but like aka- fugen! (shiro means white and aka means red in japnese) i also noticed when flowers finish most of them fall not by petals but flowers with pedicels. ​i think it's interesting that they locate next to autamnalis which bloomed first in feburary at the biginning of the cherry season.they were not like this on may 11.there are young shirofugen trees around the parking lots at the corner of yew and 42nd.shirofugen on 46th & east blvd are a little quicker than yew & 43rd. (may 20)they were whiter on may11 (already not very white, rather pink!),too. ","May 21, 2008",2008-05-21,142,2,2008,15.890697674418604,7.109302325581395,17.58139534883721
42,2,"re: kerrisdale-autumn coloursautumn colours on 50th& marine crescentautumn colours have started on 50th & marine crescent area. pandoras show beautiful red leaves. ukon has changed into red, too. somei yoshinos started changing colours.    young akebono also changed colours. but accolades (the tree behind akebono) and whitcomb haven’t changed so much. (at least until october 22, when i took pictures.) order of blooming and order of changing colours are very different.  ​ ","Oct 27, 2008",2008-10-27,301,4,2008,10.217241379310344,2.7327586206896552,33.87931034482759
43,2,"accolades - kerrisdale, yew st. from west 43 to 46 avethese prunus 'accolade' trees on yew st from west 43rd to 46th ave are probably showing just a few blossoms so far.the full description from our book (that would be douglas justice's book) is prunus 'accolade' (p. sargentii x p. x subhirtella). ","Mar 19, 2009",2009-03-19,78,1,2009,7.043137254901961,-0.4764705882352941,19.823529411764707
44,2,"re: accolades - kerrisdale, yew st. from west 43 to 46 ave(march 20)just started blooming!spring has come!accolades on yew street have just started blooming.they are not worth viewing yet but in 2 weeks they will be very beautiful. ","Mar 20, 2009",2009-03-20,79,1,2009,7.043137254901961,-0.4764705882352941,19.823529411764707
45,2,"re: accolades - kerrisdale, yew st. from west 43 to 46 avejust a thought, i used to live on this very street actually at balsam, and i have noticed that the prunus trees are  always sickly looking,  and usually  affected by blight  fungus or  insects. do you think the city horticulturist would take notice and  fertilise, spray lime and sulphur  or treat these  trees? just a thought. ","Mar 21, 2009",2009-03-21,80,1,2009,7.043137254901961,-0.4764705882352941,19.823529411764707
46,2,"re: accolades - kerrisdale, yew st. from west 43 to 46 avei think the biggest problem for those sick accolade and autumnalis on yew street is the climate of vancouver. it is too cold (too wet, too?) for those trees. (young akebonos and shirofugens there are all right.)  when i see those trees in summer, i feel sorry for them. leaves are too small to get enough energy from sunlight. so i think to fertilize might help the trees if fertilize properly. i donâ€™t know anything about spraying lime and sulphur, but i think wrapping the trunk in winter is very good way to prevent insects. to wrap every cherry trees are too much work for city, but i think some of the cherry scouts and the volunteers of the botanical gardens might help them a bit. ","Mar 23, 2009",2009-03-23,82,1,2009,7.043137254901961,-0.4764705882352941,19.823529411764707
47,2,re: kerrisdale - first posting of 2009first posting in 2009only 1 whitcomb on marine crescent near 50th is blooming now. unfortunately it has miserable shape.​3 accolades on the other side of crescent near 49th have just started to bloom.they are 10 days behind of ones  on yew street.​accolades on 50th are at the same stage of blooming.​young akebonos around there will take a little time to bloom.​somei-yoshinos on marine cr. near marine dr. are a bit ahead than akebonos.bud scales have already opened and we can see bunch of flower buds.​ ,"Apr 1, 2009",2009-04-01,91,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
48,2,"april 7marine cr. and w 50th area is getting very pretty now.somei-yoshino on marine cr. near marine dr. started to bloom.  they are about 10 % open.accolades on 50th  are adding color day by day. they are about 40 % open now.pandoras on 50th have just started to bloom.whitcomb on 50th are beautiful with purpleleaf plums. (small pink tree on the left side) ","Apr 8, 2009",2009-04-08,98,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
49,2,"beni-shidare - kerrisdale, west blvd and 54ththis is on the favourites list as yae-beni-shidare, but sorry, it's just prunus pendula 'beni-shidare', as the blossoms are single. it's a beautiful tree with lots of space around it.   a block farther south, there's a private accolade spilling over a hedge. and nearby on arbutus just south of 51st, there is a very good-looking row of private upright trees with single pinky-white blossoms. ","Apr 9, 2009",2009-04-09,99,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
50,2,"this is such a beautiful private planting easily seen from arbutus just south of 51st. four or five nicely shaped gently spreading upright trees along the front of the yard, i think not grafted, covered with pinky-white blossoms. pandoras?? they seem too pretty.[edited 2009apr16 by wcutler:] douglas says they're pandoras, in this cultivar ids thread. ","Apr 10, 2009",2009-04-10,100,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
51,3,"on april 10,most of cherries full bloomed at marine cr. and w 50th area. the first tree photos are accolades on 50 ave.the other three photos are somei-yoshino on marine crescent. ","Apr 11, 2009",2009-04-11,101,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
52,3,"on april 10,accolades fully bloomed on yew st. from 43 ave to 46 ave. ","Apr 11, 2009",2009-04-11,101,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
53,3,"on april 10,accolades fully bloomed on yew st. from 43 ave to 46 ave. ","Apr 11, 2009",2009-04-11,101,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
54,3,"beechwood st. and west 51st ave. - point greyi found this specimen on a rainy sunday in point grey. i don't which neighbourhood this is nor  the variety but it is a large, old tree situated on a corner lot facing south.  well worth a drive by. ","Apr 18, 2009",2009-04-18,108,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
55,3,"kanzans on 41st between larch and yew (kerrisdale shops) are finishing now.they are quicker than most of other places.(pictured on april 28)color of the blossoms are fading now.kanzans on larch between sw marine dr. and 42nd were at peak bloom yesterday.(april 29) but some kanzans in mccleery golf course are still not full bloom on april 29.there are a lot of aviums in the golf course. i noticed 1 ukon there, too.shirofugens have started to bloom.2 small trees on north side of 41st near vine st. were full bloom.but on 42nd near yew were just started to bloom. also ones in the community center were slower than on 42nd.ukons in the yard of the apartment on yew near 42nd were very beautiful.(there are 10 ukons in a very small place. there'll be some problem.) ","May 1, 2009",2009-05-01,121,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
56,3,"may 4, 2009i realised there were 3 small trees like shogetsu on yew between 43 and 44.(west side, in front of an apartment building). they were full bloom.3 shirofugens in the yard of kerrisdale community center(yew & 43) were also full bloom.ones on the 42nd were full bloom, too.also shirofugens on 46th between e blvd & maple were same condition.but i think all of them were not 'shiro'=white at all this year.i think they must be just 'fugenzo' in japan. (shirofugen is supposed to be a whiter variation of 'fugenzo'.) ","May 6, 2009",2009-05-06,126,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
57,3,"on may 8, i found a young akebono tree which had flowers. it locates on 45th near larch just next to dingren's cherry. first i thought they must have been avium flowers, but they weren't. one broken rib had white flowers without leaves.( unfortunately i forgot to take close-up pictures. ) ","May 13, 2009",2009-05-13,133,2,2009,17.949019607843137,8.409803921568628,16.41176470588235
58,3,"re: kerrisdale - autumnalis trees at the community centrethese autumnalis trees at the kerrisdale community centre, 42nd and yew, are looking a little showy in spots on january 6, 2010. they look a lot better than the photo of them from march in 2008, but they're not as far along in bloom as the autumnalis rosea trees in the west end. note how white the buds are. ","Jan 6, 2010",2010-01-06,6,1,2010,11.116666666666667,3.245833333333333,39.25
59,3,"as far as i saw pictures, this year is a very good year for autumnalis and autumnalis rosea. very hot summer last year helped autumnalis a lot. i think they need a hot summer like tokyoâ€™s.wendy wrote these autumnalis are not as showy as autumnalis rosea in west end. last summer i was wondering these old autumnalis trees near community centre might have witchesâ€™ broom. because some of the leaves were much smaller than other parts and twigs were congested. cherry trees with witchesâ€™ broom canâ€™t have a lot of flowers. ","Feb 4, 2010",2010-02-04,35,1,2010,11.116666666666667,3.245833333333333,39.25
60,3,"it's nice to hear from you, mariko. i don't know about witches broom preventing all trees from having a lot of flowers (the akebonos - if that's what they are (douglas hasn't dealt with the ""akebonos don't have witches broom"" issue <grin>) - in stanley park have lots of witches broom and lots of flowers), but these community centre autumnalis trees are certainly nothing to write home about. the ones near 42nd have very few flowers now. you have to be right up close to all of them to see that they have anything, though the ones on 43rd are a bit better. i should be careful. the first tree i had the nerve to bad-mouth got cut down. ","Feb 4, 2010",2010-02-04,35,1,2010,11.116666666666667,3.245833333333333,39.25
61,3,"because of warm winter, many cherry cultivars are blooming fast. during today's cherry walk from kerrisdale community centre to marine court, we saw akebono(60%), snow fountain(80%), autumnalis(few), accolade(50%withered), whitcomb(90%withered), somei-yoshino(100%). we saw four kinds of plum including purple-leaved plum, black-leaved plum, blireiana plum, wild cherry plum. we also saw star-flowered magnolia, pink star-flowered magnolia, dawnson's magnolia, saucer magnolia(bud), forsythia, photinia glabra.there are beautiful houses ","Mar 7, 2010",2010-03-07,66,1,2010,11.116666666666667,3.245833333333333,39.25
62,3,"wonderful photos, joseph! very beautiful!!  i wish i were there!those are places where i used to walk very often, but i didnâ€™t know about black-leaved plums. flowers make groups like cherries. they look like umbellate flower arrangements.after i came back to japan, i learned japanese plums (chinese origin) have flower arrangements like cherries.in tokyo buds of somei-yoshinos are still very hard. weather forecast says theyâ€™ll start blooming from march 25 this year. ","Mar 7, 2010",2010-03-07,66,1,2010,11.116666666666667,3.245833333333333,39.25
63,3,"re: kerrisdale - pendula and tai hakuthis large 'pendula' is on macdonald at 44th. these two 'yae-beni-shidare' trees are in adjacent lots on 45th at mackenzie. i can imagine the people who planted them were friends who either were each given the trees or who went shopping together and came home with the same trees. the house on the left looks newer (younger) than the tree. if that's the case, that's amazing that they kept the tree that close to the house.    ","Mar 23, 2010",2010-03-23,82,1,2010,11.116666666666667,3.245833333333333,39.25
64,3,re: kerrisdale-washi-no-omr. & mrs. chu found this beautiful washi-no-o on west 50 ave. between macdonald st. and  marine cres. ,"Mar 25, 2010",2010-03-25,84,1,2010,11.116666666666667,3.245833333333333,39.25
65,3,"re: kerrisdale--tai hakui took photos of these tai haku for your appreciation on march 19 & 26, 2010 ","Mar 29, 2010",2010-03-29,88,1,2010,11.116666666666667,3.245833333333333,39.25
66,3,"these beautiful 'pandora' trees on arbutus at 51st are in bloom.    across the street is not a bad-looking 'beni-shidare' in bloom, but apparently not photogenic, as my photos were all fuzzy. nearby on west boulevard at 54th is this also beautiful 'beni-shidare'. the owner said it's been getting a lot of attention and seemed quite happy to talk about it. the house was built in 1949 and he thinks the tree must have been planted around then. he does trim the tree a bit after it blooms, and he pointed out where one limb that must have been growing over the house was removed a long time ago.    ","Mar 29, 2011",2011-03-29,88,1,2011,8.582692307692307,1.1057692307692308,32.21153846153846
67,3,"50th west of marine crescent is looking its best as far as the 'accolade' trees go. they might still be in bloom when the two 'somei-yoshino' open up.       no trick to figuring out how the cherry blossom b&b got its name. i think these two trees must be 'yae-beni-shidare', as the 'beni-shidare' in the neighbourhood are already open and these are not open at all. [edited by wcutler 2011mar31: i see mariko posted these in 2008 as 'yae-beni-shidare' in posting #36] ","Mar 29, 2011",2011-03-29,88,1,2011,8.582692307692307,1.1057692307692308,32.21153846153846
68,3,maple grove parki'm sure everyone knows these akebono at maple grove park.  they were just perfect this afternoon. ,"Apr 16, 2011",2011-04-16,106,2,2011,15.725,7.709090909090909,32.54545454545455
69,3,"akebono on carnavon south of 45thapril 15, 2011.  starting to decline, with many petals falling, but still very beautiful.  this is on the festival map ided as akebono. ","Apr 17, 2011",2011-04-17,107,2,2011,15.725,7.709090909090909,32.54545454545455
70,3,"these 'tai haku' on balsam between 41st and 43rd are a festival favourite this year.   from the sublime to the ridiculous. 'takasago' should be sublime, but the four of them on vine south of 41st are off the other end of the scale. even the moss can't live on these things, if that's what that is accompanying the brown rot in the 2nd photo. if the half-tree in the 3rd photo loses another twig, maybe the city will put it out of its misery.  the 'washi-no-o' on balsam at 45th is in in bloom and smells wonderful.   ","Apr 17, 2011",2011-04-17,107,2,2011,15.725,7.709090909090909,32.54545454545455
71,3,first posting this year for this neighbourhood. these neighbouring 'yae-beni-shidare' on 45th at mackenzie are looking great now. ,"Apr 14, 2012",2012-04-14,105,2,2012,16.43695652173913,8.271739130434783,18.97826086956522
72,3,re: marpolethere are 4 accolade cherry trees in a private front yard in wiltshire at west 43rd ave. ,"Mar 30, 2013",2013-03-30,89,1,2013,8.286666666666667,1.2644444444444445,15.933333333333334
73,3,"this beautiful 'yokihi' at 2512 west 45 ave at larch st., reported in 2009this corymb seems loose than those three 'yokihi' on west 48 ave. it looks odd that there is distinct transition from pedicel to calyx. ","Apr 12, 2013",2013-04-12,102,2,2013,17.214,8.774,21.16
74,3,"i thought i'd discovered something new and fabulous, but i see it's a festival favourite - a canopy of 'ukon' on churchill north from 49th. ","Apr 16, 2013",2013-04-16,106,2,2013,17.214,8.774,21.16
75,3,"i went back to see these 'ukon' on churchill at 49th today without a car, so got slightly better photos to use for the festival blooming now page, which definitely needs some photos. just south of 41st on adera is a private (as in behind a hedge) property with one each of four kinds of young cherry trees - one with a 'whitcomb' tag, one 'kanzan', and these two trees, a 'yae-beni-shidare' that i though might have been a festival birthday blossom tree, which is really why i wanted to post it, and this 'beni-shidare' (3rd and 4th photos).   just after i photographed those trees, people in a passing car flashed their cherries book at me, then stopped around the corner. so i hooked up with sue and diana for further adventures in shaughnessy, south cambie and fairview. ","Apr 16, 2013",2013-04-16,106,2,2013,17.214,8.774,21.16
76,4,"'kanzan' trees in bloom for several blocks along beechwood, north of w. 57 on april 19, 2013. ","Apr 19, 2013",2013-04-19,109,2,2013,17.214,8.774,21.16
77,4,"shirofugen tree starting to bloom april 19, 2013 at se corner of beechwood and w. 53rd. ","Apr 19, 2013",2013-04-19,109,2,2013,17.214,8.774,21.16
78,4,"ten or twelve 'ukon' on apartment building property on yew at 43rd. they're past their prime now, looking quite white. there do not seem to be any green stripes on the blossoms. on the same property to the north of the 'ukon' are several quite young 'akebono' and another group of somewhat older 'akebono'. in the back of the building are three young 'shirofugen'.  the 'shirofugen' at the kerrisdale community centre at yew, here from 43td, are looking splendid. ","May 1, 2013",2013-05-01,121,2,2013,17.214,8.774,21.16
79,4,"well no-one would consider these community centre 'jugatsu-zakura' (as we're now calling 'autumnalis') to be in bloom at the end of november, but most of them have one or two branches with several open flowers.while i'm still hoping it gets decided that there's no difference between this and 'autumnalis rosea', i'm also still running the line that these have white buds and 'autumnalis rosea' have pink buds. ","Nov 27, 2013",2013-11-27,331,4,2013,8.694318181818181,2.896590909090909,25.068181818181817
